
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13 (RPM);ω (rad/s)
1;0;0.01;-1;-0.01;0.01;-0.00244;10699.1917159871;-0.0146484375;8.45947265625E-07;-0.01444091796875;3;1200;125.663706143592
2;;;;;;;10699.4358569865;-0.01708984375;7.4798583984375E-07;-0.0167816162109375;3;;
3;;;;;;;10699.6799979859;-0.01953125;6.4788818359375E-07;-0.0192413330078125;3;;
4;;;;;;;10699.9241389853;-0.02197265625;5.694580078125E-07;-0.0217041015625;3;;
5;;;;;;;10700.1682799847;-0.0244140625;4.9407958984375E-07;-0.0242034912109375;3;;
6;;;;;;;10700.4124209841;-0.02685546875;4.1839599609375E-07;-0.0265716552734375;3;;
7;;;;;;;10700.6565619834;-0.029296875;3.5003662109375E-07;-0.028997802734375;3;;
8;;;;;;;10700.9007029828;-0.03173828125;3.009033203125E-07;-0.0313140869140625;3;;
9;;;;;;;10701.1448439822;-0.0341796875;2.197265625E-07;-0.0338897705078125;3;;
10;;;;;;;10701.3889849816;-0.03662109375;1.4984130859375E-07;-0.03631591796875;3;;
11;;;;;;;10701.633125981;-0.0390625;7.232666015625E-08;-0.0387603759765625;3;;
12;;;;;;;10701.8772669804;-0.04150390625;-6.103515625E-09;-0.0411102294921875;3;;
13;;;;;;;10702.1214079797;-0.0439453125;-5.31005859375E-08;-0.0435516357421875;3;;
14;;;;;;;10702.3655489791;-0.04638671875;-1.123046875E-07;-0.046038818359375;3;;
15;;;;;;;10702.6096899785;-0.048828125;-1.7242431640625E-07;-0.0485107421875;3;;
16;;;;;;;10702.8538309779;-0.05126953125;-2.447509765625E-07;-0.051025390625;3;;
17;;;;;;;10703.0979719773;-0.0537109375;-3.265380859375E-07;-0.053314208984375;3;;
18;;;;;;;10703.3421129767;-0.05615234375;-3.619384765625E-07;-0.055938720703125;3;;
19;;;;;;;10703.586253976;-0.05859375;-4.7149658203125E-07;-0.058258056640625;3;;
