WE Potential	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	Index
-0.017242431640624997	-2.9022216796875e-07	-1.12579345703125e-06	-1.26617431640625e-06	-1.363525390625e-06	-1.4501953125e-06	-1.4901733398437502e-06	-1.512451171875e-06	-1.5106201171875e-06	-1.50054931640625e-06	-1.4849853515624998e-06	0
-0.019683837890624997	-3.867492675781249e-07	-1.4617919921875e-06	-1.63909912109375e-06	-1.77520751953125e-06	-1.8753051757812497e-06	-1.94427490234375e-06	-1.9598388671875e-06	-1.9976806640625e-06	-1.9869995117187505e-06	-1.97021484375e-06	1
-0.022125244140624997	-4.9163818359375e-07	-1.87652587890625e-06	-2.10662841796875e-06	-2.281494140625e-06	-2.416687011718749e-06	-2.496337890625e-06	-2.5494384765624997e-06	-2.570495605468749e-06	-2.5695800781250003e-06	-2.55462646484375e-06	2
-0.024566650390624997	-6.542968749999999e-07	-2.4091796875000004e-06	-2.7058105468749998e-06	-2.927978515625e-06	-3.1065063476562503e-06	-3.201416015625e-06	-3.2789306640625e-06	-3.326843261718749e-06	-3.31646728515625e-06	-3.3134155273437497e-06	3
-0.027008056640624997	-8.416748046875e-07	-3.0669860839843747e-06	-3.467681884765625e-06	-3.7453918457031243e-06	-3.959320068359375e-06	-4.096038818359375e-06	-4.186981201171875e-06	-4.241607666015625e-06	-4.267242431640625e-06	-4.261444091796875e-06	4
-0.029449462890625	-1.08612060546875e-06	-3.9178466796875e-06	-4.413757324218749e-06	-4.7634887695312485e-06	-5.035095214843749e-06	-5.19989013671875e-06	-5.337219238281249e-06	-5.41656494140625e-06	-5.4409790039062484e-06	-5.44708251953125e-06	5
-0.031890869140625	-1.39117431640625e-06	-4.971771240234375e-06	-5.612640380859376e-06	-6.058197021484375e-06	-6.396942138671874e-06	-6.607513427734375e-06	-6.775360107421876e-06	-6.866912841796874e-06	-6.909637451171877e-06	-6.915740966796876e-06	6
-0.034332275390625	-1.775604248046875e-06	-6.29473876953125e-06	-7.08819580078125e-06	-7.65582275390625e-06	-8.07391357421875e-06	-8.34552001953125e-06	-8.57135009765625e-06	-8.69647216796875e-06	-8.745300292968748e-06	-8.745300292968748e-06	7
-0.036773681640625	-2.265869140625e-06	-7.912048339843748e-06	-8.925231933593752e-06	-9.630187988281249e-06	-1.0145935058593748e-05	-1.0484680175781248e-05	-1.0753234863281247e-05	-1.090887451171875e-05	-1.1000427246093747e-05	-1.1000427246093747e-05	8
-0.039215087890625	-2.87347412109375e-06	-9.909301757812498e-06	-1.1148315429687502e-05	-1.20272216796875e-05	-1.265283203125e-05	-1.3080078125e-05	-1.34249267578125e-05	-1.3611083984374997e-05	-1.370263671875e-05	-1.37484130859375e-05	9
-0.041656494140625	-3.6411743164062493e-06	-1.235235595703125e-05	-1.387823486328125e-05	-1.4955505371093747e-05	-1.573370361328125e-05	-1.624334716796875e-05	-1.667059326171875e-05	-1.688116455078125e-05	-1.703375244140625e-05	-1.708868408203125e-05	10
-0.044097900390625	-4.5867919921875e-06	-1.529727172851562e-05	-1.7177154541015623e-05	-1.8486358642578125e-05	-1.9420196533203124e-05	-2.003359985351562e-05	-2.052188110351562e-05	-2.0830108642578124e-05	-2.0997955322265626e-05	-2.1071197509765625e-05	11
-0.046539306640625	-5.77032470703125e-06	-1.8846313476562493e-05	-2.1119873046875004e-05	-2.267626953125e-05	-2.3817626953125e-05	-2.45531005859375e-05	-2.5154296875000006e-05	-2.549609375e-05	-2.569140625e-05	-2.57249755859375e-05	12
-0.04898071289062501	-7.209930419921875e-06	-2.305868530273437e-05	-2.5762542724609376e-05	-2.7624114990234374e-05	-2.8991302490234376e-05	-2.9833587646484368e-05	-3.059347534179687e-05	-3.0990203857421876e-05	-3.124655151367188e-05	-3.1310638427734374e-05	13
-0.051422119140625	-8.96258544921875e-06	-2.8010955810546875e-05	-3.1233612060546875e-05	-3.340646362304687e-05	-3.5026947021484384e-05	-3.599435424804687e-05	-3.686715698242188e-05	-3.736154174804688e-05	-3.764535522460937e-05	-3.773385620117188e-05	14
-0.05386352539062499	-1.109259033203125e-05	-3.376614379882812e-05	-3.753811645507812e-05	-4.010159301757812e-05	-4.1960113525390624e-05	-4.309536743164063e-05	-4.409634399414061e-05	-4.4660919189453125e-05	-4.4984405517578116e-05	-4.5106475830078117e-05	15
-0.056304931640625	-1.3639892578125e-05	-4.038494873046875e-05	-4.477337646484376e-05	-4.771832275390625e-05	-4.984234619140625e-05	-5.112408447265625e-05	-5.231427001953125e-05	-5.295513916015625e-05	-5.335186767578124e-05	-5.347393798828125e-05	16
-0.058746337890625	-1.666964721679688e-05	-4.790551757812499e-05	-5.29439697265625e-05	-5.630090332031251e-05	-5.871179199218749e-05	-6.02071533203125e-05	-6.151940917968749e-05	-6.22213134765625e-05	-6.27095947265625e-05	-6.286218261718748e-05	17
-0.061187744140625	-2.0229400634765627e-05	-5.6353424072265626e-05	-6.209072875976562e-05	-6.584439086914063e-05	-6.859097290039063e-05	-7.029995727539063e-05	-7.170376586914062e-05	-7.255825805664062e-05	-7.304653930664062e-05	-7.338223266601563e-05	18
-0.06362915039062499	-2.4343017578125e-05	-6.573678588867187e-05	-7.217599487304687e-05	-7.641793823242187e-05	-7.943917846679687e-05	-8.139230346679687e-05	-8.300973510742185e-05	-8.386422729492187e-05	-8.450509643554688e-05	-8.474923706054688e-05	19
-0.066070556640625	-2.9066497802734376e-05	-7.607156372070313e-05	-8.327371215820314e-05	-8.794290161132812e-05	-9.129983520507812e-05	-9.340554809570312e-05	-9.523660278320312e-05	-9.624368286132813e-05	-9.69150695800781e-05	-9.709817504882813e-05	20
-0.068511962890625	-3.443450927734375e-05	-8.735015869140626e-05	-9.531524658203123e-05	-0.00010047271728515623	-0.00010413482666015624	-0.00010642364501953124	-0.00010837677001953123	-0.00010947540283203123	-0.00011023834228515624	-0.00011054351806640625	21
-0.070953369140625	-4.043893432617188e-05	-9.951214599609377e-05	-0.00010824017333984376	-0.00011385540771484375	-0.00011785321044921875	-0.00012029461669921875	-0.00012252239990234376	-0.00012380413818359375	-0.00012459759521484375	-0.00012462811279296876	22
-0.07339477539062499	-4.709173583984375e-05	-0.0001125001220703125	-0.00012202160644531252	-0.0001281251220703125	-0.0001324891357421875	-0.0001351136474609375	-0.0001375855712890625	-0.00013880627441406246	-0.0001398133544921875	-0.00014033215332031248	23
-0.075836181640625	-5.4333709716796884e-05	-0.00012628414916992186	-0.00013659909057617186	-0.00014319088745117184	-0.00014792111206054685	-0.00015075924682617187	-0.0001533227233886719	-0.00015484860229492185	-0.00015576412963867186	-0.00015628292846679685	24
-0.078277587890625	-6.216021728515625e-05	-0.000140797607421875	-0.000151906005859375	-0.0001590166015625	-0.0001641435546875	-0.0001671953125	-0.000169850341796875	-0.00017140673828125	-0.00017262744140624997	-0.000173573486328125	25
-0.080718994140625	-7.047610473632812e-05	-0.00015592434692382812	-0.0001677956848144531	-0.00017548611450195312	-0.00018097927856445314	-0.0001842446594238281	-0.00018723538208007809	-0.00018891384887695313	-0.00019013455200195313	-0.00019071438598632808	26
-0.08316040039062499	-7.922549438476563e-05	-0.00017162545776367184	-0.00018432077026367185	-0.00019252999877929688	-0.00019841989135742187	-0.00020189889526367184	-0.00020498117065429687	-0.00020672067260742193	-0.00020812448120117186	-0.00020894845581054686	27
-0.085601806640625	-8.82344970703125e-05	-0.00018775607299804687	-0.00020127536010742194	-0.00021009494018554687	-0.00021635104370117187	-0.0002200436706542969	-0.00022324801635742187	-0.00022541476440429692	-0.00022687960815429687	-0.00022727633666992184	28
-0.088043212890625	-9.74976501464844e-05	-0.00020431274414062494	-0.0002186865234375	-0.000228116455078125	-0.00023473876953124996	-0.00023855346679687496	-0.00024227661132812496	-0.000244290771484375	-0.00024618286132812493	-0.0002470068359375	29
-0.090484619140625	-0.00010677215576171876	-0.00022114352416992183	-0.00023640231323242183	-0.0002464731140136718	-0.00025343112182617185	-0.0002574899597167969	-0.00026157931518554684	-0.0002639596862792969	-0.00026566867065429685	-0.00026701144409179686	30
-0.09292602539062499	-0.0001159073486328125	-0.00023814804077148443	-0.0002543223571777344	-0.0002650645446777344	-0.0002725108337402344	-0.0002767832946777344	-0.0002809947204589844	-0.0002835581970214844	-0.0002858470153808594	-0.0002874339294433593	31
-0.09536743164062499	-0.00012474700927734374	-0.0002551981201171875	-0.0002724100341796875	-0.0002838846435546875	-0.0002917276611328125	-0.0002963358154296875	-0.0003010355224609375	-0.0003039346923828125	-0.0003063455810546875	-0.0003081156005859375	32
-0.097808837890625	-0.00013306069946289066	-0.00027226950073242184	-0.00029048849487304693	-0.00030272604370117193	-0.0003110878601074218	-0.00031618429565429684	-0.00032137228393554684	-0.00032417990112304686	-0.0003268959655761718	-0.00032878805541992185	33
-0.10025024414062499	-0.0001405507202148437	-0.00028907296752929683	-0.0003084516296386719	-0.0003216352233886719	-0.00033057687377929687	-0.00033625314331054687	-0.00034138009643554685	-0.0003449811706542968	-0.00034784982299804684	-0.00034983346557617193	34
-0.10269165039062499	-0.00014700384521484374	-0.0003055955200195312	-0.0003263169555664062	-0.00034038555908203123	-0.00034996807861328123	-0.00035619366455078125	-0.0003616257934570312	-0.0003653489379882813	-0.00036898052978515616	-0.00037041485595703123	35
-0.10513305664062499	-0.0001520816650390625	-0.0003217242431640625	-0.00034375793457031245	-0.0003589251708984375	-0.0003693621826171875	-0.0003760455322265625	-0.0003821795654296875	-0.0003862384033203124	-0.0003898394775390625	-0.0003925250244140625	36
-0.10757446289062499	-0.0001554537353515625	-0.000337119140625	-0.00036080078125	-0.0003771887207031249	-0.0003885717773437501	-0.000395712890625	-0.00040227416992187506	-0.00040660766601562494	-0.0004109716796875	-0.0004139624023437501	37
-0.11001586914062499	-0.00015678619384765623	-0.0003517190551757813	-0.00037723175048828123	-0.0003950540161132813	-0.00040747467041015627	-0.0004150125122070313	-0.0004221231079101562	-0.0004273416137695313	-0.00043213287353515627	-0.0004357339477539063	38
-0.11245727539062499	-0.00015570037841796874	-0.00036530609130859374	-0.0003929244995117187	-0.0004123947143554687	-0.0004260055541992187	-0.0004340621948242187	-0.0004421188354492187	-0.00044745941162109375	-0.00045279998779296877	-0.00045798797607421877	39
-0.114898681640625	-0.0001518365478515625	-0.00037758666992187493	-0.00040770751953125	-0.00042910034179687506	-0.0004440234375	-0.0004528125	-0.000461571044921875	-0.000467735595703125	-0.000473564453125	-0.0004782336425781249	40
-0.117340087890625	-0.00014506164550781247	-0.00038813629150390627	-0.0004211868286132812	-0.0004448379516601562	-0.00046128692626953117	-0.0004708389282226561	-0.0004801467895507811	-0.00048704376220703126	-0.0004939102172851563	-0.0004979385375976561	41
-0.119781494140625	-0.000135606689453125	-0.00039708984375	-0.00043361938476562496	-0.00045989501953125	-0.000477930908203125	-0.000488551025390625	-0.0004985302734375	-0.00050615966796875	-0.00051348388671875	-0.0005192822265625	42
-0.122222900390625	-0.00012399383544921876	-0.00040391967773437506	-0.000444599609375	-0.000473927001953125	-0.0004937023925781249	-0.0005055126953124999	-0.0005164990234375	-0.00052473876953125	-0.0005332836914062499	-0.0005396923828125	43
-0.124664306640625	-0.0001112841796875	-0.00040829071044921867	-0.00045400604248046887	-0.0004868429565429688	-0.0005082357788085939	-0.0005216635131835936	-0.0005335653686523436	-0.0005430258178710937	-0.0005524862670898439	-0.0005598104858398437	44
-0.127105712890625	-9.891693115234373e-05	-0.0004099472045898437	-0.00046158294677734363	-0.0004983566284179687	-0.0005219467163085936	-0.0005369003295898438	-0.0005500228881835937	-0.0005603988647460937	-0.0005707748413085937	-0.0005793197631835937	45
-0.129547119140625	-8.834228515625e-05	-0.00040861175537109377	-0.00046717498779296884	-0.0005084957885742187	-0.0005344357299804689	-0.0005509152221679686	-0.0005658688354492187	-0.0005771603393554687	-0.0005887570190429687	-0.0005985226440429687	46
-0.131988525390625	-8.011383056640624e-05	-0.0004042324829101562	-0.00047088287353515626	-0.0005170254516601563	-0.0005460171508789063	-0.0005640225219726561	-0.0005801968383789065	-0.0005933193969726563	-0.000606136779785156	-0.0006165127563476561	47
-0.134429931640625	-7.423614501953125e-05	-0.0003969479370117187	-0.00047263153076171886	-0.0005240231323242188	-0.0005560665893554689	-0.0005759030151367187	-0.0005936032104492189	-0.0006079464721679688	-0.0006219845581054689	-0.0006338864135742188	48
-0.136871337890625	-7.009124755859375e-05	-0.00038736419677734373	-0.00047238616943359377	-0.0005291793823242187	-0.0005645797729492187	-0.0005865524291992188	-0.0006063888549804687	-0.0006219528198242187	-0.0006375167846679687	-0.0006503341674804685	49
-0.139312744140625	-6.710876464843749e-05	-0.0003766339111328125	-0.0004705059814453125	-0.0005331280517578126	-0.0005718853759765626	-0.0005959942626953125	-0.0006176617431640626	-0.0006347515869140624	-0.0006521466064453125	-0.0006664898681640624	50
-0.141754150390625	-6.488220214843748e-05	-0.00036623687744140624	-0.00046764678955078136	-0.0005358535766601562	-0.0005782730102539064	-0.0006042129516601563	-0.0006277114868164064	-0.0006466323852539063	-0.0006655532836914062	-0.0006817276000976563	51
